Date,Company
2008-01,DYNIQ
2008-01,TYC
2008-01,TEL
2008-01,COV
2008-01,CCU
2008-01,AET
2008-01,YUM
2008-01,WM
2008-01,CL
2008-01,EDS
2008-01,SLM
2008-01,JNPR
2008-01,MMC
2008-01,HST
2008-01,HCBK
2008-01,ADP
2008-01,LEHMQ
2008-01,FITB
2008-01,MHS
2008-01,MON
2008-01,BBT
2008-01,VLO
2008-01,NVDA
2008-01,MTLQQ
2008-01,ALL
2008-01,ANTM
2008-01,ADBE
2008-01,CFC
2008-01,D
2008-01,JCI
2008-01,WMB
2008-01,AMD
2008-01,SYY
2008-01,SE
2008-01,NCC
2008-01,BAX
2008-01,CAT
2008-01,ADM
2008-01,PA
2008-01,VIAB
2008-01,EXC
2008-01,FMCC
2008-01,AES
2008-01,KR
2008-01,CBS
2008-01,RN
2008-01,EP
2008-01,PGR
2008-01,SPLS
2008-01,MRO
2008-01,LSI
2008-01,MMM
2008-01,DTV
2008-01,SLE
2008-01,SBUX
2008-01,BUD
2008-01,LUV
2008-01,MWZ
2008-01,ALD
2008-01,WU
2008-01,MU
2008-01,SO
2008-01,BA
2008-01,EMR
2008-01,OXY
2008-01,JAVA
2008-01,TGT
2008-01,AA
2008-01,MER
2008-01,SYMC
2008-01,WAMUQ
2008-01,AAPL
2008-01,HAL
2008-01,DD
2008-01,XRX
2008-01,GILD
2008-01,SWG
2008-01,DOW
2008-01,FNMA
2008-01,LLY
2008-01,UTX
2008-01,WAG
2008-01,UPS
2008-01,MS
2008-01,AMGN
2008-01,MDT
2008-01,EBAY
2008-01,BK
2008-01,AEC
2008-01,MCD
2008-01,SLBA
2008-01,DUK
2008-01,UNH
2008-01,YHOO
2008-01,WYE
2008-01,BSX
2008-01,IBM
2008-01,AMAT
2008-01,TXN
2008-01,LOW
2008-01,CVS
2008-01,ABT
2008-01,KFT
2008-01,QWST
2008-01,GLW
2008-01,COP
2008-01,PEP
2008-01,MRK
2008-01,QCI
2008-01,HD
2008-01,USB
2008-01,DIS
2008-01,WB
2008-01,BMY
2008-01,KO
2008-01,EMC
2008-01,MO
2008-01,F
2008-01,CVX
2008-01,MRK
2008-01,DELL
2008-01,MOT
2008-01,NCRA
2008-01,WMT
2008-01,AIG
2008-01,HPQ
2008-01,S
2008-01,JNJ
2008-01,VZ
2008-01,CMCSA
2008-01,PG
2008-01,JPM
2008-01,WFC
2008-01,TWX
2008-01,ORCL
2008-01,BAC
2008-01,R
2008-01,XOM
2008-01,INCO
2008-01,T
2008-01,CSCO
2008-01,BGIXX
2008-01,PFE
2008-01,MSFT
2008-01,GEC
2008-02,GHC
2008-02,MDP
2008-02,AZO
2008-02,GAS
2008-02,MIL
2008-02,MXA
2008-02,ASH
2008-02,SNA
2008-02,R
2008-02,RL
2008-02,DDS
2008-02,HAR
2008-02,BDK
2008-02,GWW
2008-02,ICE
2008-02,SHLD
2008-02,MTZ
2008-02,OMX
2008-02,TEG
2008-02,KBH
2008-02,WHR
2008-02,AVB
2008-02,MTG
2008-02,IFF
